node	Atuncolla	Caminaca	Cayma	Cercado	Cerro Colorado	Characato	Jacobo Hunter	Majes	Paucarpata	Yura
n5	2.1359053554616254e-05	2.5662863308175882e-05	0.0012970310562313574	0.00039843477596630415	0.06730058171464726	2.1358855085024134e-05	4.271985026378554e-05	6.334697999846149e-05	2.135888744856949e-05	0.9308081459634964
196_2021_aqp13	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
71_2021_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n22	1.0129028800941506e-06	1.2163221211059973e-06	2.0251988045331022e-06	1.0129023655846677e-06	6.1842945867955315e-06	1.0129022213611969e-06	2.0259059325116065e-06	0.9999826306642134	1.06575251273651e-06	1.8131543619147352e-06
n33	1.6996017585507434e-09	2.040930056633393e-09	3.39818505681372e-09	1.699600886111556e-09	1.0376945416863716e-08	1.6996006441081825e-09	3.399371583144621e-09	0.9999999708197834	1.8235964627748027e-09	3.0423848076137925e-09
73_2021_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n55	2.1359053554616254e-05	2.5662863308175882e-05	0.0012970310562313574	0.00039843477596630415	0.06730058171464726	2.1358855085024134e-05	4.271985026378554e-05	6.334697999846149e-05	2.135888744856949e-05	0.9308081459634964
n7	2.1359053554616254e-05	2.5662863308175882e-05	0.0012970310562313574	0.00039843477596630415	0.06730058171464726	2.1358855085024134e-05	4.271985026378554e-05	6.334697999846149e-05	2.135888744856949e-05	0.9308081459634964
172_2022_aqp14	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
68_2021_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
52_2021_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
34_2021_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
147_2021_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
18_2021_aqp13	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n6	0.001053836780784873	0.0012654769511812832	0.002225854142268233	0.0010895535650603204	0.8969736602420335	0.001053836092120431	0.002107777775482147	0.003125504271418971	0.0010538376883778902	0.0900506624912721
56_2021_aqp14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n77	2.1359053554616254e-05	2.5662863308175882e-05	0.0012970310562313574	0.00039843477596630415	0.06730058171464726	2.1358855085024134e-05	4.271985026378554e-05	6.334697999846149e-05	2.135888744856949e-05	0.9308081459634964
231_2021_aqp14	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n1111	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
202_2021_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
107_2021_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
251_2021_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
250_2021_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
148_2021_aqp13	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
40_2021_aqp14	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n66	0.00017984398826975057	0.00021596152076514984	0.0003609149170847907	0.0001802451379607021	0.9964979089289272	0.00017984387353639419	0.00035970576689388416	0.0005333873047197347	0.00017984414594777922	0.0013123444158945358
n8	2.1359053554616254e-05	2.5662863308175882e-05	0.0012970310562313574	0.00039843477596630415	0.06730058171464726	2.1358855085024134e-05	4.271985026378554e-05	6.334697999846149e-05	2.135888744856949e-05	0.9308081459634964
93_2021_aqp13	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
9_2021_aqp13	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
158_2022_aqp14	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
126_2021_aqp14	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
31_2021_aqp14	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
174_2021_aqp13	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
145_2022_aqp14	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
12_2021_aqp13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
90_2021_aqp14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
236_2022_aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n9	0.0033857464306476497	0.004065695514609625	0.0067694641321394385	0.003385744756445406	0.020671728764806416	0.044205366978360174	0.036477162791602374	0.010041559809555917	0.003385749402800363	0.8676117814190326
n1010	5.350378107466786e-06	6.424878152742283e-06	1.0697550284340857e-05	5.350375461782846e-06	0.9981678558766587	5.3503746999892424e-06	1.0701285491606148e-05	1.5868330033088055e-05	5.350382804257077e-06	0.001767050568306123
30_2021_aqp14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n99	0.0017614185877016905	0.00211515888683929	0.003521781738642908	0.0017614177167058886	0.010754369245334378	0.008652901511443632	0.09506046593893376	0.005224074058814461	0.0017614201339501004	0.8693869921816338
219_2022_aqp14	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
92_2021_aqp13	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
61_2021_aqp14	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
173_2023_aqp14	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
147_2022_aqp14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
